antonovaetal2010a	antonovaetal2011a

ОАНҌХЕСЬ КЫРРЬЙ	Оанҍхэсь кыррьй	
Вэ̄зхэллэм кӣл оаннӭв ев лышшэ о̄ллмэ, ва̄нас тӣдтӭй кӣл, ноа э о̄ллмэ, пуэраст тӣдтӭй кӣл.	Вэ̄зхэллэм кӣл оаннӭв ев лышшэ о̄ллмэ, ва̄нас тӣдтӭй кӣл, ноа э о̄ллмэ, пуэраст тӣдтӭй кӣл.	
Е̄намп вэ̄зхэллэм кӣл оаннӭв о̄ллмэ, кугк ва̄йймельт кӯскнэв э̄ххтса са̄мь я̄лла.	Е̄намп вэ̄зхэллэм кӣл оаннӭв о̄ллмэ, кугк ва̄йймельт кӯскнэв э̄ххтса са̄мь я̄лла.	
#	#	
Я̄наш са̄мь кӣл оаннӭй ев кӯсстэ.	Я̄наш са̄мь кӣл оаннӭй ев кӯсстэ.	
Чӯтӓ кӯсстъев са̄мь кӣлл ва̄йймлесь, кугк ва̄ймельт кӯскнэв э̄ххтса са̄мь я̄лла, о̄ллмэ ке̄сьт ли э̄лл сайй я̄лэсьт я ял выгкэй, го политик я шурьмуз (лидеры).	Чӯтӓ кӯсстъев са̄мь кӣлл ва̄йймлесь, кугк ва̄ймельт кӯскнэв э̄ххтса са̄мь я̄лла, о̄ллмэ ке̄сьт ли э̄лл сайй я̄лэсьт я ял выгкэй, го политик я шурьмуз (лидеры).	
Ноа я̄наш са̄мь кӣл ва̄ймлесь оаннӭй ев кӯсстэ.	Ноа я̄наш са̄мь кӣл ва̄ймлесь оаннӭй ев кӯсстэ.	
Тэнн «эйй кӯсстъей» о̄ллмэ туххка ныдтҍшэ мэ̄нънэв я̄наш потенциальнэ кӣл оаннӭй, нӯрр пуллдэг, о̄ллмэ эйй соа̄менҍ выййтма я о̄ллмэ вӯлльгесь я̄л сэенҍ, ва̄лльтэ, кэ̄бп во̄йвишна о̄ллмэ, вуаййпей роавас чоа̄зенҍ я мудта рэ̄зэгуэйм вуаййпей о̄ллмэ.	Тэнн «эйй кӯсстъей» о̄ллмэ туххка ныдтҍшэ мэ̄нънэв я̄наш потенциальнэ кӣл оаннӭй, нӯрр пуллдэг, о̄ллмэ эйй соа̄менҍ выййтма я о̄ллмэ вӯлльгесь я̄л сэенҍ, ва̄лльтэ, кэ̄бп во̄йвишна о̄ллмэ, вуаййпей роавас чоа̄зенҍ я мудта рэ̄зэгуэйм вуаййпей о̄ллмэ.	
#	#	
Го кӣл пайнэмушш ло̄гэнч ва̄сьт я̄ллхэ кӣлт кӣл, гу югкепяййвса кӣл, ку ва̄ллтъенне о̄ннъюваххч югке сэенҍ, танна кӣлт кӣл ва̄ймлесь я потенциальнэ оаннӭй эйй кӯсстъей туххк лыххк шӯрр потенциал.	Го кӣл пайнэмушш ло̄гэнч ва̄сьт я̄ллхэ кӣлт кӣл, гу югкепяййвса кӣл, ку ва̄ллтъенне о̄ннъюваххч югке сэенҍ, танна кӣлт кӣл ва̄ймлесь я потенциальнэ оаннӭй эйй кӯсстъей туххк лыххк шӯрр потенциал.	
Эвтэс, кунт гуэйке ва̄сьт кӣл пайнэ, бэдҍсуввэв о̄ххпэй, тӣдтӭй о̄дт я та̄ррмъя кӣл о̄ххпэм тӯетҍ, о̄дт о̄ххпэм кырьетҍ я кӣл о̄ххпэм оанҍхесь кэскэтҍ лыгксаххьтэмь гуэйке эвтэс о̄ххпмуж.	Эвтэс, кунт гуэйке ва̄сьт кӣл пайнэ, бэдҍсуввэв о̄ххпэй, тӣдтӭй о̄дт я та̄ррмъя кӣл о̄ххпэм тӯетҍ, о̄дт о̄ххпэм кырьетҍ я кӣл о̄ххпэм оанҍхесь кэскэтҍ лыгксаххьтэмь гуэйке эвтэс о̄ххпмуж.	
Лашшенҍ кӣл о̄ххпэм оанҍхэсь кэскэтҍ бэдт лыххкэ е̄на вуаннчмужэтҍ кӣл ва̄ймля оаннӭмь гуэйке са̄мас са̄ррнэм па̄ль югкепийве вуанчнэмь ва̄рэсьт са̄мас са̄ррнэм вырькэтҍ.	Лашшенҍ кӣл о̄ххпэм оанҍхэсь кэскэтҍ бэдт лыххкэ е̄на вуаннчмужэтҍ кӣл ва̄ймля оаннӭмь гуэйке са̄мас са̄ррнэм па̄ль югкепийве вуанчнэмь ва̄рэсьт са̄мас са̄ррнэм вырькэтҍ.	
А̄ннъювв э са̄мь о̄ллмэе эхтнэг сыськасьт кэскэсьт югке пуллдэгэ е̄на э̄ххтса кӣл тӯетҍ выгкэ я ныдтҍшэ выгкэ э̄ххтса тӯетҍ кэскэсьт са̄мь кӣлл ва̄ймлегуэйм, па̄йхьк я̄л выгкэй чӯрьвэгуэйм.	А̄ннъювв э са̄мь о̄ллмэе эхтнэг сыськасьт кэскэсьт югке пуллдэгэ е̄на э̄ххтса кӣл тӯетҍ выгкэ я ныдтҍшэ выгкэ э̄ххтса тӯетҍ кэскэсьт са̄мь кӣлл ва̄ймлегуэйм, па̄йхьк я̄л выгкэй чӯрьвэгуэйм.	
Ныдтҍшэ шӯрр тӯйй ли аннҍтэ Куэлнэгкнёарк соа̄ме кӣлэтҍ е̄ннгэдтӭ аля я̄лл сай, ва̄лльтэ, лыххкэ ве̄ххькенҍ мугка тӯетҍ, кугк а̄ннэв кӣлт соа̄ме кӣлэтҍ оаннмуж.	Ныдтҍшэ шӯрр тӯйй ли аннҍтэ Куэлнэгкнёарк соа̄ме кӣлэтҍ е̄ннгэдтӭ аля я̄лл сай, ва̄лльтэ, лыххкэ ве̄ххькенҍ мугка тӯетҍ, кугк а̄ннэв кӣлт соа̄ме кӣлэтҍ оаннмуж.	
Кӣл сай пайнэмь гуэйкэ вял э мугка вуэйймушш лӣннчле вуаяхч, ва̄лльтэ, Скандинавскэ са̄мь о̄ллмэ ва̄лтченҍ шуря пя̄дцэльвуд я тыввьвудт Куэлнэгкнёарк соа̄ме кӣлэ альн.	Кӣл сай пайнэмь гуэйкэ вял э мугка вуэйймушш лӣннчле вуаяхч, ва̄лльтэ, Скандинавскэ са̄мь о̄ллмэ ва̄лтченҍ шуря пя̄дцэльвуд я тыввьвудт Куэлнэгкнёарк соа̄ме кӣлэ альн.	
Тэ̄йт тӯетҍ вуаяхч ӣллькье пэ̄йель э̄ххтса оанҍхэсь кӣлт кӣл о̄ххпэм кэскэ Скандинавскэ соа̄ме я Куэлнэгкнёарк соаме гуэйке.	Тэ̄йт тӯетҍ вуаяхч ӣллькье пэ̄йель э̄ххтса оанҍхэсь кӣлт кӣл о̄ххпэм кэскэ Скандинавскэ соа̄ме я Куэлнэгкнёарк соаме гуэйке.	
Вял кӯсстай мугка лыххк, ва̄лльтэ, Куэлнэгкнёарк соа̄ме кӣлэтҍ э̄ххтэ Скандинавскэ шӣг программатҍ пайнэмь гуэйке са̄мь кӣлэтҍ.	Вял кӯсстай мугка лыххк, ва̄лльтэ, Куэлнэгкнёарк соа̄ме кӣлэтҍ э̄ххтэ Скандинавскэ шӣг программатҍ пайнэмь гуэйке са̄мь кӣлэтҍ.	
#	#	
Са̄мь кӣлле пыйень Са̄ндрэ Антонова я Элизабет Шеллер.	Са̄мь кӣлле пыйень Са̄ндрэ Антонова я Элизабет Шеллер.	
#	#	
СОАГНЭХХЬК	Соагнэххьк	
#	#	
ва̄ймлесь кӣл оаннӭй	ва̄ймлесь кӣл оаннӭй	активный носитель языка
вуаннчмушш, вуэйймушш	вуаннчмушш, вуэйймушш	возможность
вэ̄зхэллэм кӣлл	вэ̄зхэллэм кӣлл	символический язык
эвтэс о̄ххпмушш	эвтэс о̄ххпмушш	продвинутый этап обучения
кӣл о̄ххпэм оанҍхесь кэск	кӣл о̄ххпэм оанҍхесь кэск	языковые курсы
кӣл пайнэмушш	кӣл пайнэмушш	ревитализация языка
кӣл ва̄йймль	кӣл ва̄йймль	языковой активист
оанҍхесь кырьй	оанҍхесь кырьй	резюме
пыйнэ	пыйнэ	предполагать, решать
та̄ррьмъя	та̄ррьмъя	современный
тыввьвудт	тыввьвудт	интерес
чуэррьв	чуэррьв	чиновник, начальник, руководитель, вождь, председатель
э̄лл я̄лл сай	э̄лл я̄лл сай	высокий статус
э̄ххтса я̄ллмушш	э̄ххтса я̄ллмушш	общественная жизнь
